ts,side,price,qty,pnl,reason
2021-01-08 02:00,BUY,37181.74,0.1,,entry
2021-01-08 03:00,SELL,38347.1,0.1,116.54,exit
2021-01-08 20:00,BUY,39059.15,0.1,,entry
2021-01-08 21:00,SELL,40075.82,0.1,101.67,exit
2021-01-09 05:00,BUY,39295.37,0.1,,entry
2021-01-09 06:00,SELL,38984.86,0.1,-31.05,exit
2021-01-09 23:00,BUY,40088.22,0.1,,entry
2021-01-10 00:00,SELL,40581.48,0.1,49.33,exit
2021-01-10 17:00,BUY,38571.86,0.1,,entry
2021-01-10 18:00,SELL,38109.68,0.1,-46.22,exit
2021-01-10 19:00,BUY,37456.77,0.1,,entry
2021-01-10 20:00,SELL,37718.88,0.1,26.21,exit
2021-01-11 00:00,BUY,37192.1,0.1,,entry
2021-01-11 01:00,SELL,37237.66,0.1,4.56,exit
2021-01-11 02:00,BUY,36363.94,0.1,,entry
2021-01-11 03:00,SELL,35438.23,0.1,-92.57,exit
2021-01-11 04:00,BUY,35544.0,0.1,,entry
2021-01-11 05:00,SELL,34904.73,0.1,-63.93,exit
2021-01-11 06:00,BUY,32872.63,0.1,,entry
2021-01-11 07:00,SELL,34375.34,0.1,150.27,exit
2021-01-11 11:00,BUY,34198.56,0.1,,entry
2021-01-11 12:00,SELL,34275.64,0.1,7.71,exit
2021-01-11 13:00,BUY,32813.71,0.1,,entry
2021-01-11 14:00,SELL,33299.12,0.1,48.54,exit
2021-01-11 15:00,BUY,31580.0,0.1,,entry
2021-01-11 16:00,SELL,31777.19,0.1,19.72,exit
2021-01-11 19:00,BUY,32254.62,0.1,,entry
2021-01-11 23:00,SELL,35404.47,0.1,314.99,exit
2021-01-12 07:00,BUY,36413.6,0.1,,entry
2021-01-12 10:00,SELL,35085.77,0.1,-132.78,exit
2021-01-13 16:00,BUY,34783.14,0.1,,entry
2021-01-13 18:00,SELL,35719.36,0.1,93.62,exit
2021-01-15 05:00,BUY,37808.9,0.1,,entry
2021-01-15 06:00,SELL,38043.27,0.1,23.44,exit
2021-01-15 11:00,BUY,38108.88,0.1,,entry
2021-01-15 12:00,SELL,37770.63,0.1,-33.83,exit
2021-01-15 15:00,BUY,35610.72,0.1,,entry
2021-01-15 16:00,SELL,36151.09,0.1,54.04,exit
2021-01-15 17:00,BUY,35947.31,0.1,,entry
2021-01-15 18:00,SELL,35421.55,0.1,-52.58,exit
2021-01-15 19:00,BUY,35217.26,0.1,,entry
2021-01-15 20:00,SELL,35605.7,0.1,38.84,exit
2021-01-16 11:00,BUY,37680.0,0.1,,entry
2021-01-16 17:00,SELL,36860.97,0.1,-81.9,exit
2021-01-17 07:00,BUY,34760.9,0.1,,entry
2021-01-17 08:00,SELL,34732.83,0.1,-2.81,exit
2021-01-17 09:00,BUY,34176.77,0.1,,entry
2021-01-17 10:00,SELL,34818.0,0.1,64.12,exit
2021-01-18 01:00,BUY,36125.44,0.1,,entry
2021-01-18 02:00,SELL,35764.66,0.1,-36.08,exit
2021-01-18 09:00,BUY,36574.61,0.1,,entry
2021-01-18 12:00,SELL,36981.4,0.1,40.68,exit
2021-01-18 17:00,BUY,35675.28,0.1,,entry
2021-01-18 18:00,SELL,35755.62,0.1,8.03,exit
2021-01-19 18:00,BUY,36500.0,0.1,,entry
2021-01-19 19:00,SELL,36279.82,0.1,-22.02,exit
2021-01-19 20:00,BUY,36436.26,0.1,,entry
2021-01-19 21:00,SELL,36452.22,0.1,1.6,exit
2021-01-20 03:00,BUY,35062.49,0.1,,entry
2021-01-20 04:00,SELL,35251.36,0.1,18.89,exit
2021-01-20 10:00,BUY,34721.51,0.1,,entry
2021-01-20 11:00,SELL,34426.17,0.1,-29.53,exit
2021-01-20 15:00,BUY,34192.17,0.1,,entry
2021-01-20 16:00,SELL,34693.65,0.1,50.15,exit
2021-01-21 08:00,BUY,33239.0,0.1,,entry
2021-01-21 09:00,SELL,32878.33,0.1,-36.07,exit
2021-01-21 10:00,BUY,32826.62,0.1,,entry
2021-01-21 11:00,SELL,32208.62,0.1,-61.8,exit
2021-01-21 12:00,BUY,32475.34,0.1,,entry
2021-01-21 13:00,SELL,32304.44,0.1,-17.09,exit
2021-01-21 14:00,BUY,31180.19,0.1,,entry
2021-01-21 15:00,SELL,31384.09,0.1,20.39,exit
2021-01-21 16:00,BUY,31083.5,0.1,,entry
2021-01-21 17:00,SELL,31912.38,0.1,82.89,exit
2021-01-21 18:00,BUY,31742.68,0.1,,entry
2021-01-21 20:00,SELL,31883.01,0.1,14.03,exit
2021-01-21 21:00,BUY,31229.71,0.1,,entry
2021-01-21 22:00,SELL,30913.18,0.1,-31.65,exit
2021-01-21 23:00,BUY,30850.13,0.1,,entry
2021-01-22 00:00,SELL,29528.31,0.1,-132.18,exit
2021-01-22 01:00,BUY,30068.29,0.1,,entry
2021-01-22 02:00,SELL,30710.91,0.1,64.26,exit
2021-01-22 18:00,BUY,33277.32,0.1,,entry
2021-01-22 19:00,SELL,33589.52,0.1,31.22,exit
2021-01-23 02:00,BUY,32256.17,0.1,,entry
2021-01-23 03:00,SELL,32365.01,0.1,10.88,exit
2021-01-23 10:00,BUY,32344.37,0.1,,entry
2021-01-23 11:00,SELL,31645.49,0.1,-69.89,exit
2021-01-24 04:00,BUY,32811.05,0.1,,entry
2021-01-24 12:00,SELL,32362.31,0.1,-44.87,exit
2021-01-24 13:00,BUY,32227.29,0.1,,entry
2021-01-24 14:00,SELL,32055.71,0.1,-17.16,exit
2021-01-24 19:00,BUY,31306.29,0.1,,entry
2021-01-24 20:00,SELL,31673.26,0.1,36.7,exit
2021-01-25 01:00,BUY,32864.98,0.1,,entry
2021-01-25 03:00,SELL,33568.18,0.1,70.32,exit
2021-01-25 21:00,BUY,32718.08,0.1,,entry
2021-01-25 22:00,SELL,32462.36,0.1,-25.57,exit
2021-01-26 03:00,BUY,31518.66,0.1,,entry
2021-01-26 04:00,SELL,32000.01,0.1,48.13,exit
2021-01-27 11:00,BUY,30639.05,0.1,,entry
2021-01-27 12:00,SELL,30759.03,0.1,12.0,exit
2021-01-27 13:00,BUY,30275.3,0.1,,entry
2021-01-27 14:00,SELL,29573.15,0.1,-70.21,exit
2021-01-27 18:00,BUY,29709.79,0.1,,entry
2021-01-27 20:00,SELL,31520.2,0.1,181.04,exit
2021-01-28 06:00,BUY,31564.58,0.1,,entry
2021-01-28 07:00,SELL,31170.53,0.1,-39.41,exit
2021-01-28 09:00,BUY,31466.91,0.1,,entry
2021-01-28 13:00,SELL,31775.12,0.1,30.82,exit
2021-01-29 07:00,BUY,32266.35,0.1,,entry
2021-01-29 08:00,SELL,36240.24,0.1,397.39,exit
2021-01-29 19:00,BUY,34318.57,0.1,,entry
2021-01-29 23:00,SELL,34252.2,0.1,-6.64,exit
2021-01-30 00:00,BUY,34250.1,0.1,,entry
2021-01-30 01:00,SELL,34123.05,0.1,-12.7,exit
2021-01-30 02:00,BUY,33862.51,0.1,,entry
2021-01-30 03:00,SELL,33273.36,0.1,-58.92,exit
2021-01-30 19:00,BUY,34286.5,0.1,,entry
2021-01-30 20:00,SELL,34154.63,0.1,-13.19,exit
2021-01-31 00:00,BUY,34066.84,0.1,,entry
2021-01-31 01:00,SELL,34194.0,0.1,12.72,exit
2021-01-31 17:00,BUY,32302.31,0.1,,entry
2021-01-31 18:00,SELL,32450.3,0.1,14.8,exit
2021-02-01 07:00,BUY,33803.97,0.1,,entry
2021-02-01 08:00,SELL,34477.31,0.1,67.33,exit
2021-02-01 15:00,BUY,33160.17,0.1,,entry
2021-02-01 16:00,SELL,33460.83,0.1,30.07,exit
2021-02-01 23:00,BUY,33526.37,0.1,,entry
2021-02-02 02:00,SELL,33646.0,0.1,11.96,exit
2021-02-02 03:00,BUY,33550.32,0.1,,entry
2021-02-02 04:00,SELL,33876.37,0.1,32.61,exit
2021-02-04 14:00,BUY,36795.15,0.1,,entry
2021-02-04 15:00,SELL,36564.23,0.1,-23.09,exit
2021-02-04 16:00,BUY,36929.36,0.1,,entry
2021-02-04 17:00,SELL,36884.34,0.1,-4.5,exit
2021-02-04 23:00,BUY,36936.66,0.1,,entry
2021-02-05 00:00,SELL,36993.25,0.1,5.66,exit
2021-02-05 01:00,BUY,36632.38,0.1,,entry
2021-02-05 02:00,SELL,36958.28,0.1,32.59,exit
2021-02-05 03:00,BUY,37366.02,0.1,,entry
2021-02-05 05:00,SELL,37065.97,0.1,-30.0,exit
