ts,side,price,qty,pnl,reason
2026-01-01 17:00,BUY,88316.37,0.1,,entry
2026-01-01 23:00,SELL,88839.04,0.1,52.27,exit
2026-01-03 07:00,BUY,89577.13,0.1,,entry
2026-01-03 12:00,SELL,90039.13,0.1,46.2,exit
2026-01-06 07:00,BUY,93255.08,0.1,,entry
2026-01-06 11:00,SELL,93840.0,0.1,58.49,exit
2026-01-06 16:00,BUY,92692.32,0.1,,entry
2026-01-06 17:00,SELL,91589.24,0.1,-110.31,exit
2026-01-07 16:00,BUY,91264.54,0.1,,entry
2026-01-07 17:00,SELL,91252.14,0.1,-1.24,exit
2026-01-07 18:00,BUY,90901.39,0.1,,entry
2026-01-07 19:00,SELL,91186.07,0.1,28.47,exit
2026-01-07 20:00,BUY,91047.49,0.1,,entry
2026-01-07 21:00,SELL,91089.5,0.1,4.2,exit
2026-01-08 03:00,BUY,90813.4,0.1,,entry
2026-01-08 04:00,SELL,91022.75,0.1,20.94,exit
2026-01-08 06:00,BUY,89898.01,0.1,,entry
2026-01-08 07:00,SELL,90548.02,0.1,65.0,exit
2026-01-08 09:00,BUY,90010.0,0.1,,entry
2026-01-08 10:00,SELL,90410.1,0.1,40.01,exit
2026-01-09 17:00,BUY,91422.23,0.1,,entry
2026-01-09 18:00,SELL,90820.31,0.1,-60.19,exit
2026-01-11 05:00,BUY,90774.43,0.1,,entry
2026-01-11 15:00,SELL,90875.79,0.1,10.14,exit
2026-01-11 19:00,BUY,90690.8,0.1,,entry
2026-01-11 20:00,SELL,90708.26,0.1,1.75,exit
2026-01-11 23:00,BUY,91013.65,0.1,,entry
2026-01-12 02:00,SELL,92203.56,0.1,118.99,exit
2026-01-12 08:00,BUY,90752.27,0.1,,entry
2026-01-12 09:00,SELL,90685.64,0.1,-6.66,exit
2026-01-12 10:00,BUY,90433.46,0.1,,entry
2026-01-12 11:00,SELL,90620.96,0.1,18.75,exit
2026-01-12 15:00,BUY,91665.0,0.1,,entry
2026-01-12 16:00,SELL,92123.52,0.1,45.85,exit
2026-01-12 21:00,BUY,91055.17,0.1,,entry
2026-01-13 01:00,SELL,91185.35,0.1,13.02,exit
2026-01-13 02:00,BUY,91118.3,0.1,,entry
2026-01-13 05:00,SELL,91920.99,0.1,80.27,exit
2026-01-15 14:00,BUY,96063.43,0.1,,entry
2026-01-15 15:00,SELL,96737.04,0.1,67.36,exit
2026-01-15 18:00,BUY,95835.0,0.1,,entry
2026-01-15 19:00,SELL,95516.01,0.1,-31.9,exit
2026-01-16 15:00,BUY,94585.98,0.1,,entry
2026-01-16 16:00,SELL,94872.55,0.1,28.66,exit
2026-01-18 19:00,BUY,95380.99,0.1,,entry
