ts,side,price,qty,pnl,reason
2026-01-01 11:00,BUY,88024.64,0.1,,GoldenCross ADX=15.9
2026-01-01 17:00,SELL,88316.37,0.1,29.17,RSIExit RSI=60.8 g=+0.33%
2026-01-03 06:00,BUY,89871.05,0.1,,Pullback RSI=53.6 ADX=26.3
2026-01-03 07:00,SELL,89577.13,0.1,-29.39,DeathCross g=-0.33%
2026-01-03 13:00,BUY,90004.96,0.1,,GoldenCross ADX=19.1
2026-01-03 14:00,SELL,90126.02,0.1,12.11,RSIExit RSI=58.8 g=+0.13%
2026-01-03 15:00,BUY,89969.31,0.1,,Pullback RSI=54.5 ADX=18.3
2026-01-03 18:00,SELL,90138.87,0.1,16.96,RSIExit RSI=58.1 g=+0.19%
2026-01-04 20:00,BUY,91313.94,0.1,,GoldenCross ADX=38.2
2026-01-04 22:00,SELL,91220.01,0.1,-9.39,BelowEMAs g=-0.10%
2026-01-06 06:00,BUY,93780.01,0.1,,GoldenCross ADX=33.6
2026-01-06 07:00,SELL,93255.08,0.1,-52.49,TrailStop g=-0.56%
2026-01-06 12:00,BUY,93872.16,0.1,,GoldenCross ADX=26.0
2026-01-06 15:00,SELL,93648.99,0.1,-22.32,BelowEMAs g=-0.24%
2026-01-06 17:00,BUY,91589.24,0.1,,DeepRSI RSI=27.5 ADX=24.9
2026-01-06 18:00,SELL,92034.09,0.1,44.48,BelowEMAs g=+0.49%
2026-01-06 23:00,BUY,93747.97,0.1,,GoldenCross ADX=22.5
2026-01-07 00:00,SELL,92709.52,0.1,-103.84,TrailStop g=-1.11%
2026-01-07 16:00,BUY,91264.54,0.1,,DeepRSI RSI=34.3 ADX=20.3
2026-01-07 17:00,SELL,91252.14,0.1,-1.24,BelowEMAs g=-0.01%
2026-01-07 18:00,BUY,90901.39,0.1,,DeepRSI RSI=31.0 ADX=23.0
2026-01-07 19:00,SELL,91186.07,0.1,28.47,BelowEMAs g=+0.31%
2026-01-07 20:00,BUY,91047.49,0.1,,DeepRSI RSI=34.8 ADX=25.8
2026-01-07 21:00,SELL,91089.5,0.1,4.2,BelowEMAs g=+0.05%
2026-01-08 03:00,BUY,90813.4,0.1,,DeepRSI RSI=34.2 ADX=31.7
2026-01-08 04:00,SELL,91022.75,0.1,20.94,BelowEMAs g=+0.23%
2026-01-08 06:00,BUY,89898.01,0.1,,DeepRSI RSI=27.2 ADX=35.2
2026-01-08 07:00,SELL,90548.02,0.1,65.0,BelowEMAs g=+0.72%
2026-01-08 09:00,BUY,90010.0,0.1,,DeepRSI RSI=33.8 ADX=38.6
2026-01-08 11:00,SELL,90226.77,0.1,21.68,BelowEMAs g=+0.24%
2026-01-08 16:00,BUY,90926.84,0.1,,GoldenCross ADX=42.3
2026-01-09 04:00,SELL,91012.8,0.1,8.6,BelowEMAs g=+0.09%
2026-01-09 05:00,BUY,91091.82,0.1,,Pullback RSI=51.1 ADX=20.4
